0.559,   1.77,   7,   1.00e+25,   1.0,   1.0,   0.55,   0.40,   0.10,   0.10
0.314,   3.14,   7,   1.00e+25,   1.0,   0.90,   0.45,   0.35,   0.050,   0.050
0.993,   0.559,   7,   1.00e+25,   1.0,   0.90,   0.50,   0.30,   0.050,   0.050
0.314,   5.58,   7,   1.00e+25,   1.0,   0.85,   0.50,   0.30,   0.20,   0.20
0.559,   9.91,   7,   1.00e+25,   1.0,   0.85,   0.50,   0.30,   0.050,   0.050
0.314,   0.993,   5,   1.00e+25,   1.0,   0.95,   0.45,   0.30,   0.15,   0.15
0.314,   0.993,   2,   1.00e+25,   1.0,   0.90,   0.45,   0.30,   0.0,   0.0
0.314,   1.77,   5,   1.00e+25,   0.95,   0.90,   0.45,   0.30,   0.10,   0.10
0.314,   1.77,   7,   1.00e+25,   1.0,   0.85,   0.45,   0.30,   0.20,   0.20
0.993,   5.58,   7,   1.00e+25,   1.0,   0.80,   0.30,   0.30,   0.15,   0.15
0.559,   0.993,   7,   1.00e+25,   1.0,   0.90,   0.60,   0.25,   0.0,   0.0
0.314,   0.314,   3,   1.00e+25,   0.85,   0.75,   0.55,   0.25,   0.10,   0.10
0.314,   0.993,   3,   1.00e+25,   1.0,   0.90,   0.50,   0.25,   0.050,   0.050
0.559,   0.993,   5,   1.00e+25,   1.0,   0.95,   0.45,   0.25,   0.050,   0.050
0.314,   17.6,   7,   1.00e+25,   1.0,   0.85,   0.45,   0.25,   0.10,   0.10
1.77,   0.559,   7,   1.00e+25,   1.0,   0.90,   0.40,   0.25,   0.10,   0.10
0.314,   3.14,   5,   1.00e+25,   1.0,   0.85,   0.40,   0.25,   0.0,   0.0
1.77,   0.993,   7,   1.00e+25,   1.0,   0.85,   0.30,   0.25,   0.0,   0.0
0.314,   9.91,   7,   1.00e+25,   1.0,   0.95,   0.45,   0.20,   0.15,   0.15
0.559,   5.58,   7,   1.00e+25,   1.0,   1.0,   0.40,   0.20,   0.10,   0.10
0.314,   55.6,   7,   1.00e+25,   1.0,   0.95,   0.40,   0.20,   0.0,   0.0
0.0560,   0.559,   2,   1.00e+25,   1.0,   0.85,   0.40,   0.20,   0.0,   0.0
0.993,   0.993,   7,   1.00e+25,   1.0,   0.95,   0.35,   0.20,   0.10,   0.10
0.559,   55.6,   7,   1.00e+25,   1.0,   0.90,   0.35,   0.20,   0.0,   0.0
0.177,   17.6,   7,   1.00e+25,   1.0,   0.70,   0.35,   0.20,   0.15,   0.15
0.559,   17.6,   7,   1.00e+25,   1.0,   1.0,   0.30,   0.20,   0.10,   0.10
0.993,   3.14,   7,   1.00e+25,   1.0,   0.95,   0.30,   0.20,   0.0,   0.0
0.993,   1.77,   5,   1.00e+25,   1.0,   0.90,   0.25,   0.20,   0.10,   0.10
0.0560,   0.993,   2,   1.00e+25,   1.0,   0.85,   0.25,   0.20,   0.0,   0.0
